folder,sample,E_g_eV,E_g_R2,E_g_conf,edge_slope,transition_width,E_u_meV,E_u_R2,E_u_conf,A_sub,A_sub_raw,A_sub_coverage,A_sub_conf,E_g_region_start,E_g_region_end,E_u_region_start,E_u_region_end,A_sub_region_start,A_sub_region_end,A_sub_ideal_start,macro_cluster,macro_cluster_prob,sub_cluster,full_label
ndefects_data/ndefects_003_data,c3n4,2.4324,0.99864,medium,2.5392,0.1524,195.67,0.999638,high,0.091104,0.045552,1.0,high,2.7869,2.9393,2.1998,2.3445,1.8445,2.3445,1.8445,1,1.0,0,B.1
ndefects_data/ndefects_004_data,a-c3n4,2.5728,0.997983,medium,3.1575,0.2062,236.18,0.999867,high,0.003336,0.001668,1.0,high,2.7975,3.0037,2.2602,2.4786,1.9786,2.4786,1.9786,0,0.9885127404818678,0,A.1
ndefects_data/ndefects_004_data,b-c3n4,2.0445,0.997742,medium,1.4336,0.3494,211.23,0.9978,high,0.05903,0.024118,0.8171,high,2.824,3.1734,1.7597,1.9616,1.553,1.9616,1.4616,1,0.9999999999998241,0,B.1
ndefects_data/ndefects_005_data,p-c3n4,2.86,0.997765,medium,4.6866,0.1389,273.22,0.999137,high,0.008144,0.004072,1.0,medium,3.0229,3.1618,2.3157,2.7316,2.2316,2.7316,2.2316,0,0.9995594991957635,0,A.1
ndefects_data/ndefects_006_data,cn,2.4996,0.9971,medium,2.1346,0.2837,231.4,0.999879,high,0.006054,0.003027,1.0,high,2.8372,3.1209,2.1564,2.3471,1.8471,2.3471,1.8471,0,0.9573587146282446,0,A.1
ndefects_data/ndefects_006_data,ncn,2.4807,0.981214,low,2.6923,0.1868,379.72,0.996029,high,0.362819,0.18141,1.0,high,3.0323,3.2191,2.1937,2.3843,1.8843,2.3843,1.8843,1,1.0,1,B.2
ndefects_data/ndefects_007_data,cn,2.7698,0.999277,high,9.9423,0.2713,215.18,0.999724,high,0.001601,0.000801,1.0,high,2.9106,3.1818,2.2525,2.4601,1.9601,2.4601,1.9601,0,0.9996313260841455,0,A.1
ndefects_data/ndefects_007_data,cn10,2.7714,0.998306,medium,9.9219,0.1881,422.5,0.999932,high,0.006714,0.003357,1.0,high,3.0047,3.1928,2.4724,2.6798,2.1798,2.6798,2.1798,0,0.9969472331829967,0,A.1
ndefects_data/ndefects_007_data,cn15,2.7246,0.998268,medium,9.4799,0.1895,426.41,0.99956,high,0.00683,0.003415,1.0,high,2.9812,3.1708,2.4629,2.6358,2.1358,2.6358,2.1358,0,0.9955979725257817,0,A.1
ndefects_data/ndefects_007_data,cn5,2.7883,0.99574,low,10.4345,0.1846,314.76,0.999867,high,0.002495,0.001247,1.0,high,2.9751,3.1598,2.4285,2.636,2.136,2.636,2.136,0,0.9989666988463227,0,A.1
