folder,sample,E_g_eV,E_g_R2,E_g_conf,edge_slope,transition_width,E_u_meV,E_u_R2,E_u_conf,A_sub,A_sub_raw,A_sub_coverage,A_sub_conf,E_g_region_start,E_g_region_end,E_u_region_start,E_u_region_end,A_sub_region_start,A_sub_region_end,A_sub_ideal_start,baseline_corrected,baseline_delta,baseline_known_Eg,baseline_calibrator
elementdoped_data/nddoped_001_data,hgcn,2.0805,0.998334,high,7.3977,0.7104,89.59,0.979869,low,0.000092,0.000044,0.9641,high,2.6094,3.3198,1.6596,1.9274,1.4453,1.9274,1.4274,False,0.000000,0.0000,
elementdoped_data/nddoped_001_data,ndgcn,2.7408,0.997836,high,8.6803,0.4439,257.04,0.997142,high,0.000180,0.000090,1.0000,high,3.0816,3.5256,2.1953,2.4631,1.9631,2.4631,1.9631,False,0.000000,0.0000,
elementdoped_data/odoped_001_data,cn,2.6184,0.998556,high,3.3858,0.2435,258.96,0.999129,high,0.010863,0.005432,1.0000,high,2.8236,3.0672,2.2989,2.5047,2.0047,2.5047,2.0047,False,0.000000,0.0000,
elementdoped_data/odoped_001_data,cnca01,2.4893,0.998461,high,2.9248,0.2667,216.37,0.997780,high,0.008226,0.004113,1.0000,high,2.7743,3.0410,2.0242,2.3667,1.8667,2.3667,1.8667,False,0.000000,0.0000,
elementdoped_data/odoped_001_data,cnca02,2.2366,0.998442,high,2.0875,0.5442,249.69,0.999668,high,0.011387,0.005694,1.0000,high,2.5787,3.1228,2.0110,2.1392,1.6392,2.1392,1.6392,False,0.000000,0.0000,
elementdoped_data/odoped_001_data,cnca03,2.0760,0.998726,high,1.8383,0.6605,196.87,0.999542,high,0.015356,0.006257,0.8150,high,2.4755,3.1360,1.8279,1.9557,1.5482,1.9557,1.4557,False,0.000000,0.0000,
elementdoped_data/odoped_001_data,cnca04,1.9967,0.998565,high,1.7340,0.6999,114.15,0.992868,medium,0.025989,0.007918,0.6093,medium,2.4177,3.1175,1.6876,1.8554,1.5508,1.8554,1.3554,False,0.000000,0.0000,
elementdoped_data/odoped_002_data,cn,2.5489,0.996149,medium,3.2954,0.2072,253.87,0.999919,high,0.011481,0.005740,1.0000,high,2.7288,2.9361,2.2450,2.4208,1.9208,2.4208,1.9208,False,0.000000,0.0000,
elementdoped_data/odoped_002_data,oxcn1,2.7019,0.998631,high,3.1758,0.2695,266.09,0.995295,high,0.003696,0.001848,1.0000,high,2.8764,3.1459,2.3141,2.6134,2.1134,2.6134,2.1134,False,0.000000,0.0000,
elementdoped_data/odoped_002_data,oxcn2,2.7086,0.996799,medium,2.7564,0.2649,212.22,0.999960,high,0.020284,0.010142,1.0000,high,2.9044,3.1693,2.3953,2.5607,2.0607,2.5607,2.0607,False,0.000000,0.0000,
elementdoped_data/odoped_002_data,oxcn3,2.7538,0.973569,low,2.7945,0.2762,264.64,0.998019,high,0.012982,0.006491,1.0000,high,2.9155,3.1918,2.3675,2.5640,2.0640,2.5640,2.0640,False,0.000000,0.0000,
elementdoped_data/odoped_003_data,cn,2.4536,0.992255,medium,3.0785,0.2180,68.37,0.981888,medium,0.000304,0.000152,1.0000,high,2.7147,2.9328,2.1513,2.2916,1.7916,2.2916,1.7916,True,0.071842,2.7000,odoped_003_abs_cn
elementdoped_data/odoped_003_data,p10s5,2.4648,0.993274,medium,2.7563,0.2880,183.54,0.998093,high,0.000130,0.000065,1.0000,high,2.7285,3.0165,2.1233,2.2916,1.7916,2.2916,1.7916,True,0.071842,2.7000,odoped_003_abs_cn
elementdoped_data/odoped_003_data,p5s10,2.4886,0.994185,medium,2.6980,0.2750,276.95,0.999874,high,0.000145,0.000073,1.0000,high,2.7546,3.0296,1.9874,2.1315,1.6315,2.1315,1.6315,True,0.071842,2.7000,odoped_003_abs_cn
