folder,sample,E_g_eV,E_g_R2,E_g_conf,E_u_meV,E_u_R2,E_u_conf,A_sub,A_sub_conf,E_g_region_start,E_g_region_end,E_u_region_start,E_u_region_end,A_sub_region_start,A_sub_region_end
ndefects_data/ndefects_008_data,g-c3n4-003,2.4260,0.993287,low,145.33,0.998185,high,0.041688,high,2.7727,3.0167,1.8964,2.2688,1.5000,1.9260
ndefects_data/ndefects_008_data,g-c3n4-005,2.4043,0.997547,medium,90.08,0.998725,high,0.042682,high,2.7976,3.0409,2.0017,2.1854,1.5000,1.9043
ndefects_data/ndefects_008_data,g-c3n4-007,2.3459,0.996703,low,166.57,0.999421,high,0.033054,high,2.7899,3.0624,2.0502,2.1973,1.5000,1.8459
ndefects_data/ndefects_008_data,g-c3n4,2.4385,0.996848,low,239.04,0.994215,medium,0.032183,high,2.7875,3.0680,2.1949,2.3342,1.5000,1.9385
ndefects_data/ndefects_009_data,1egcn,2.5006,0.987758,low,275.53,0.999968,high,0.000356,high,2.7850,3.0514,2.1179,2.2570,1.5006,2.0006
ndefects_data/ndefects_009_data,3egcn,2.4486,0.986748,low,309.42,0.999765,high,0.061969,high,2.7364,3.0372,2.1814,2.3293,1.5000,1.9486
ndefects_data/ndefects_009_data,4egcn,2.3697,0.990582,low,444.22,0.999423,high,0.032953,high,2.7336,3.0514,2.0557,2.2146,1.5000,1.8697
ndefects_data/ndefects_009_data,bcn,2.5855,0.997954,medium,86.82,0.975458,low,0.000000,invalid,2.7877,2.9575,2.3065,2.4725,1.5855,2.0855
ndefects_data/ndefects_010_data,d3-g-c3n4,2.3397,0.999484,high,151.87,0.999645,high,0.000103,medium,2.7889,3.1625,1.9914,2.1896,1.5000,1.8397
ndefects_data/ndefects_010_data,g-c3n4,2.5911,0.994754,low,236.77,0.999856,high,0.000106,medium,2.7889,2.9746,2.2232,2.4276,1.5911,2.0911
